Date,Product,Category,Price,Quantity Sold,Total Sales
2026-01-03,Wireless Mouse,Electronics,24.99,3,74.97
2026-01-04,Notebook,Stationery,4.50,8,36.00
2026-01-05,Water Bottle,Home & Kitchen,12.99,5,64.95
2026-01-06,USB-C Cable,Electronics,9.99,6,59.94
2026-01-08,Desk Lamp,Home & Kitchen,29.95,2,59.90
2026-01-10,Ballpoint Pens,Stationery,6.25,10,62.50
2026-01-12,Bluetooth Speaker,Electronics,39.99,4,159.96
2026-01-14,Coffee Mug,Home & Kitchen,8.75,7,61.25
2026-01-16,Backpack,Accessories,34.50,3,103.50
2026-01-18,Phone Stand,Accessories,14.99,5,74.95
2026-01-20,Sticky Notes,Stationery,3.99,12,47.88
2026-01-22,Keyboard,Electronics,49.99,2,99.98
2026-01-25,Lunch Box,Home & Kitchen,18.50,4,74.00
2026-01-27,Tote Bag,Accessories,11.25,6,67.50
2026-01-29,Highlighters,Stationery,7.80,9,70.20
2026-02-01,Earbuds,Electronics,27.99,5,139.95
2026-02-03,Storage Basket,Home & Kitchen,16.75,3,50.25
2026-02-05,Wallet,Accessories,22.40,4,89.60
2026-02-07,Sketchbook,Stationery,9.50,7,66.50
2026-02-09,Power Bank,Electronics,44.99,3,134.97
